"","Month","PM10...µg.m.","COMUNE","Year"
"128","maggio",14.1935483870968,"Barbariga","2020"
"129","marzo",27.1612903225806,"Barbariga","2020"
"130","novembre",53.1666666666667,"Barbariga","2020"
"131","ottobre",31.1612903225806,"Barbariga","2020"
"132","settembre",28.2,"Barbariga","2020"
"133","agosto",9.90322580645161,"Barghe","2020"
"134","aprile",20.7,"Barghe","2020"
"135","dicembre",27,"Barghe","2020"
"136","febbraio",36.0344827586207,"Barghe","2020"
"137","gennaio",43.5161290322581,"Barghe","2020"
"138","giugno",9.16666666666667,"Barghe","2020"
"139","luglio",12.0333333333333,"Barghe","2020"
"140","maggio",13.5483870967742,"Barghe","2020"
"141","marzo",25.2903225806452,"Barghe","2020"
"142","novembre",34.8666666666667,"Barghe","2020"
"143","ottobre",17.9354838709677,"Barghe","2020"
"144","settembre",13.448275862069,"Barghe","2020"
"145","agosto",21.258064516129,"Bassano Bresciano","2020"
"146","aprile",20.7666666666667,"Bassano Bresciano","2020"
"147","dicembre",29,"Bassano Bresciano","2020"
"148","febbraio",27.6206896551724,"Bassano Bresciano","2020"
"149","gennaio",38.4838709677419,"Bassano Bresciano","2020"
"150","giugno",11.9666666666667,"Bassano Bresciano","2020"
"151","luglio",17.5666666666667,"Bassano Bresciano","2020"
"152","maggio",13.6451612903226,"Bassano Bresciano","2020"
"153","marzo",26.5483870967742,"Bassano Bresciano","2020"
"154","novembre",53.3333333333333,"Bassano Bresciano","2020"
"155","ottobre",32.2903225806452,"Bassano Bresciano","2020"
"156","settembre",28.5666666666667,"Bassano Bresciano","2020"
"157","agosto",19.741935483871,"Bedizzole","2020"
"158","aprile",21.8666666666667,"Bedizzole","2020"
"159","dicembre",37.5,"Bedizzole","2020"
"160","febbraio",33,"Bedizzole","2020"
"161","gennaio",43.1935483870968,"Bedizzole","2020"
"162","giugno",11.3,"Bedizzole","2020"
"163","luglio",17.7,"Bedizzole","2020"
"164","maggio",14.4516129032258,"Bedizzole","2020"
"165","marzo",25.8709677419355,"Bedizzole","2020"
"166","novembre",53.6,"Bedizzole","2020"
"167","ottobre",31.4838709677419,"Bedizzole","2020"
"168","settembre",24.8666666666667,"Bedizzole","2020"
"169","agosto",19.3870967741935,"Berlingo","2020"
"170","aprile",21.5666666666667,"Berlingo","2020"
"171","dicembre",37,"Berlingo","2020"
"172","febbraio",30.551724137931,"Berlingo","2020"
"173","gennaio",40.5161290322581,"Berlingo","2020"
"174","giugno",12.4333333333333,"Berlingo","2020"
"175","luglio",17.0666666666667,"Berlingo","2020"
"176","maggio",14.8064516129032,"Berlingo","2020"
"177","marzo",27.5806451612903,"Berlingo","2020"
"178","novembre",51.5666666666667,"Berlingo","2020"
"179","ottobre",28.8064516129032,"Berlingo","2020"
"180","settembre",25.8,"Berlingo","2020"
"181","agosto",5.41935483870968,"Berzo Demo","2020"
"182","aprile",10.1666666666667,"Berzo Demo","2020"
"183","dicembre",18.5,"Berzo Demo","2020"
"184","febbraio",13.3103448275862,"Berzo Demo","2020"
"185","gennaio",19.6774193548387,"Berzo Demo","2020"
"186","giugno",4.93333333333333,"Berzo Demo","2020"
"187","luglio",5.66666666666667,"Berzo Demo","2020"
"188","maggio",7.2258064516129,"Berzo Demo","2020"
"189","marzo",10.3225806451613,"Berzo Demo","2020"
"190","novembre",22.1666666666667,"Berzo Demo","2020"
"191","ottobre",5.19354838709677,"Berzo Demo","2020"
"192","settembre",6.4,"Berzo Demo","2020"
"193","agosto",6.58064516129032,"Berzo Inferiore","2020"
"194","aprile",16.5666666666667,"Berzo Inferiore","2020"
"195","dicembre",12,"Berzo Inferiore","2020"
"196","febbraio",26.5172413793103,"Berzo Inferiore","2020"
"197","gennaio",34.5483870967742,"Berzo Inferiore","2020"
"198","giugno",8.83333333333333,"Berzo Inferiore","2020"
"199","luglio",7.7,"Berzo Inferiore","2020"
"200","maggio",11.7096774193548,"Berzo Inferiore","2020"
"201","marzo",18.9677419354839,"Berzo Inferiore","2020"
"202","novembre",16.1666666666667,"Berzo Inferiore","2020"
"203","ottobre",5,"Berzo Inferiore","2020"
"204","settembre",6.73333333333333,"Berzo Inferiore","2020"
"205","agosto",7.96774193548387,"Bienno","2020"
"206","aprile",12.5333333333333,"Bienno","2020"
"207","dicembre",10.5,"Bienno","2020"
"208","febbraio",14.3793103448276,"Bienno","2020"
"209","gennaio",19.4193548387097,"Bienno","2020"
"210","giugno",7.93333333333333,"Bienno","2020"
"211","luglio",8.66666666666667,"Bienno","2020"
"212","maggio",9.67741935483871,"Bienno","2020"
"213","marzo",13.2258064516129,"Bienno","2020"
"214","novembre",13.3333333333333,"Bienno","2020"
"215","ottobre",4.09677419354839,"Bienno","2020"
"216","settembre",6.36666666666667,"Bienno","2020"
"217","agosto",7.70967741935484,"Bione","2020"
"218","aprile",20.5,"Bione","2020"
"219","dicembre",22.5,"Bione","2020"
"220","febbraio",34.6896551724138,"Bione","2020"
"221","gennaio",39.1290322580645,"Bione","2020"
"222","giugno",9.73333333333333,"Bione","2020"
"223","luglio",10.2666666666667,"Bione","2020"
"224","maggio",13.9032258064516,"Bione","2020"
"225","marzo",25.8064516129032,"Bione","2020"
"226","novembre",30.4666666666667,"Bione","2020"
"227","ottobre",13.1935483870968,"Bione","2020"
"228","settembre",10.7,"Bione","2020"
"229","agosto",21.741935483871,"Borgo San Giacomo","2020"
"230","aprile",22.4666666666667,"Borgo San Giacomo","2020"
"231","dicembre",27.5,"Borgo San Giacomo","2020"
"232","febbraio",30.4137931034483,"Borgo San Giacomo","2020"
"233","gennaio",41.0322580645161,"Borgo San Giacomo","2020"
"234","giugno",13.9,"Borgo San Giacomo","2020"
"235","luglio",18.5666666666667,"Borgo San Giacomo","2020"
"236","maggio",15.0322580645161,"Borgo San Giacomo","2020"
"237","marzo",28.6774193548387,"Borgo San Giacomo","2020"
"238","novembre",52.7333333333333,"Borgo San Giacomo","2020"
"239","ottobre",32.1612903225806,"Borgo San Giacomo","2020"
"240","settembre",30.3,"Borgo San Giacomo","2020"
"241","agosto",20.2258064516129,"Borgosatollo","2020"
"242","aprile",25.2666666666667,"Borgosatollo","2020"
"243","dicembre",38,"Borgosatollo","2020"
"244","febbraio",41.2413793103448,"Borgosatollo","2020"
"245","gennaio",55.5806451612903,"Borgosatollo","2020"
"246","giugno",13.9333333333333,"Borgosatollo","2020"
"247","luglio",17.3,"Borgosatollo","2020"
"248","maggio",17.8709677419355,"Borgosatollo","2020"
"249","marzo",32.9677419354839,"Borgosatollo","2020"
"250","novembre",55.0666666666667,"Borgosatollo","2020"
"251","ottobre",30.6774193548387,"Borgosatollo","2020"
"252","settembre",25.5666666666667,"Borgosatollo","2020"
"253","agosto",4.93548387096774,"Borno","2020"
"254","aprile",15.0333333333333,"Borno","2020"
"255","dicembre",12,"Borno","2020"
"256","febbraio",18.0689655172414,"Borno","2020"
"257","gennaio",23.8387096774194,"Borno","2020"
"258","giugno",6.9,"Borno","2020"
"259","luglio",6,"Borno","2020"
"260","maggio",10.7741935483871,"Borno","2020"
