",""Month"",""PM10...µg.m."",""COMUNE"""
"125,""gennaio"",38.4193548387097,""Barbariga"""
"126,""giugno"",12.4,""Barbariga"""
"127,""luglio"",17.8,""Barbariga"""
"128,""maggio"",14.1935483870968,""Barbariga"""
"129,""marzo"",27.1612903225806,""Barbariga"""
"130,""novembre"",53.1666666666667,""Barbariga"""
"131,""ottobre"",31.1612903225806,""Barbariga"""
"132,""settembre"",28.2,""Barbariga"""
"133,""agosto"",9.90322580645161,""Barghe"""
"134,""aprile"",20.7,""Barghe"""
"135,""dicembre"",27,""Barghe"""
"136,""febbraio"",36.0344827586207,""Barghe"""
"137,""gennaio"",43.5161290322581,""Barghe"""
"138,""giugno"",9.16666666666667,""Barghe"""
"139,""luglio"",12.0333333333333,""Barghe"""
"140,""maggio"",13.5483870967742,""Barghe"""
"141,""marzo"",25.2903225806452,""Barghe"""
"142,""novembre"",34.8666666666667,""Barghe"""
"143,""ottobre"",17.9354838709677,""Barghe"""
"144,""settembre"",13.448275862069,""Barghe"""
"145,""agosto"",21.258064516129,""Bassano Bresciano"""
"146,""aprile"",20.7666666666667,""Bassano Bresciano"""
"147,""dicembre"",29,""Bassano Bresciano"""
"148,""febbraio"",27.6206896551724,""Bassano Bresciano"""
"149,""gennaio"",38.4838709677419,""Bassano Bresciano"""
"150,""giugno"",11.9666666666667,""Bassano Bresciano"""
"151,""luglio"",17.5666666666667,""Bassano Bresciano"""
"152,""maggio"",13.6451612903226,""Bassano Bresciano"""
"153,""marzo"",26.5483870967742,""Bassano Bresciano"""
"154,""novembre"",53.3333333333333,""Bassano Bresciano"""
"155,""ottobre"",32.2903225806452,""Bassano Bresciano"""
"156,""settembre"",28.5666666666667,""Bassano Bresciano"""
"157,""agosto"",19.741935483871,""Bedizzole"""
"158,""aprile"",21.8666666666667,""Bedizzole"""
"159,""dicembre"",37.5,""Bedizzole"""
"160,""febbraio"",33,""Bedizzole"""
"161,""gennaio"",43.1935483870968,""Bedizzole"""
"162,""giugno"",11.3,""Bedizzole"""
"163,""luglio"",17.7,""Bedizzole"""
"164,""maggio"",14.4516129032258,""Bedizzole"""
"165,""marzo"",25.8709677419355,""Bedizzole"""
"166,""novembre"",53.6,""Bedizzole"""
"167,""ottobre"",31.4838709677419,""Bedizzole"""
"168,""settembre"",24.8666666666667,""Bedizzole"""
"169,""agosto"",19.3870967741935,""Berlingo"""
"170,""aprile"",21.5666666666667,""Berlingo"""
"171,""dicembre"",37,""Berlingo"""
"172,""febbraio"",30.551724137931,""Berlingo"""
"173,""gennaio"",40.5161290322581,""Berlingo"""
"174,""giugno"",12.4333333333333,""Berlingo"""
"175,""luglio"",17.0666666666667,""Berlingo"""
"176,""maggio"",14.8064516129032,""Berlingo"""
"177,""marzo"",27.5806451612903,""Berlingo"""
"178,""novembre"",51.5666666666667,""Berlingo"""
"179,""ottobre"",28.8064516129032,""Berlingo"""
"180,""settembre"",25.8,""Berlingo"""
"181,""agosto"",5.41935483870968,""Berzo Demo"""
"182,""aprile"",10.1666666666667,""Berzo Demo"""
"183,""dicembre"",18.5,""Berzo Demo"""
"184,""febbraio"",13.3103448275862,""Berzo Demo"""
"185,""gennaio"",19.6774193548387,""Berzo Demo"""
"186,""giugno"",4.93333333333333,""Berzo Demo"""
"187,""luglio"",5.66666666666667,""Berzo Demo"""
"188,""maggio"",7.2258064516129,""Berzo Demo"""
"189,""marzo"",10.3225806451613,""Berzo Demo"""
"190,""novembre"",22.1666666666667,""Berzo Demo"""
"191,""ottobre"",5.19354838709677,""Berzo Demo"""
"192,""settembre"",6.4,""Berzo Demo"""
"193,""agosto"",6.58064516129032,""Berzo Inferiore"""
"194,""aprile"",16.5666666666667,""Berzo Inferiore"""
"195,""dicembre"",12,""Berzo Inferiore"""
"196,""febbraio"",26.5172413793103,""Berzo Inferiore"""
"197,""gennaio"",34.5483870967742,""Berzo Inferiore"""
"198,""giugno"",8.83333333333333,""Berzo Inferiore"""
"199,""luglio"",7.7,""Berzo Inferiore"""
"200,""maggio"",11.7096774193548,""Berzo Inferiore"""
"201,""marzo"",18.9677419354839,""Berzo Inferiore"""
"202,""novembre"",16.1666666666667,""Berzo Inferiore"""
"203,""ottobre"",5,""Berzo Inferiore"""
"204,""settembre"",6.73333333333333,""Berzo Inferiore"""
"205,""agosto"",7.96774193548387,""Bienno"""
"206,""aprile"",12.5333333333333,""Bienno"""
"207,""dicembre"",10.5,""Bienno"""
"208,""febbraio"",14.3793103448276,""Bienno"""
"209,""gennaio"",19.4193548387097,""Bienno"""
"210,""giugno"",7.93333333333333,""Bienno"""
"211,""luglio"",8.66666666666667,""Bienno"""
"212,""maggio"",9.67741935483871,""Bienno"""
"213,""marzo"",13.2258064516129,""Bienno"""
"214,""novembre"",13.3333333333333,""Bienno"""
"215,""ottobre"",4.09677419354839,""Bienno"""
"216,""settembre"",6.36666666666667,""Bienno"""
"217,""agosto"",7.70967741935484,""Bione"""
"218,""aprile"",20.5,""Bione"""
"219,""dicembre"",22.5,""Bione"""
"220,""febbraio"",34.6896551724138,""Bione"""
"221,""gennaio"",39.1290322580645,""Bione"""
"222,""giugno"",9.73333333333333,""Bione"""
"223,""luglio"",10.2666666666667,""Bione"""
"224,""maggio"",13.9032258064516,""Bione"""
"225,""marzo"",25.8064516129032,""Bione"""
"226,""novembre"",30.4666666666667,""Bione"""
"227,""ottobre"",13.1935483870968,""Bione"""
"228,""settembre"",10.7,""Bione"""
"229,""agosto"",21.741935483871,""Borgo San Giacomo"""
"230,""aprile"",22.4666666666667,""Borgo San Giacomo"""
"231,""dicembre"",27.5,""Borgo San Giacomo"""
"232,""febbraio"",30.4137931034483,""Borgo San Giacomo"""
"233,""gennaio"",41.0322580645161,""Borgo San Giacomo"""
"234,""giugno"",13.9,""Borgo San Giacomo"""
"235,""luglio"",18.5666666666667,""Borgo San Giacomo"""
"236,""maggio"",15.0322580645161,""Borgo San Giacomo"""
"237,""marzo"",28.6774193548387,""Borgo San Giacomo"""
"238,""novembre"",52.7333333333333,""Borgo San Giacomo"""
"239,""ottobre"",32.1612903225806,""Borgo San Giacomo"""
"240,""settembre"",30.3,""Borgo San Giacomo"""
"241,""agosto"",20.2258064516129,""Borgosatollo"""
"242,""aprile"",25.2666666666667,""Borgosatollo"""
"243,""dicembre"",38,""Borgosatollo"""
"244,""febbraio"",41.2413793103448,""Borgosatollo"""
"245,""gennaio"",55.5806451612903,""Borgosatollo"""
"246,""giugno"",13.9333333333333,""Borgosatollo"""
"247,""luglio"",17.3,""Borgosatollo"""
"248,""maggio"",17.8709677419355,""Borgosatollo"""
"249,""marzo"",32.9677419354839,""Borgosatollo"""
"250,""novembre"",55.0666666666667,""Borgosatollo"""
"251,""ottobre"",30.6774193548387,""Borgosatollo"""
"252,""settembre"",25.5666666666667,""Borgosatollo"""
"253,""agosto"",4.93548387096774,""Borno"""
"254,""aprile"",15.0333333333333,""Borno"""
"255,""dicembre"",12,""Borno"""
"256,""febbraio"",18.0689655172414,""Borno"""
"257,""gennaio"",23.8387096774194,""Borno"""
"258,""giugno"",6.9,""Borno"""
"259,""luglio"",6,""Borno"""
"260,""maggio"",10.7741935483871,""Borno"""
"261,""marzo"",16.1935483870968,""Borno"""
"262,""novembre"",15.6666666666667,""Borno"""
"263,""ottobre"",5.41935483870968,""Borno"""
"264,""settembre"",6.86666666666667,""Borno"""
"265,""agosto"",14.1612903225806,""Botticino"""
"266,""aprile"",24.0666666666667,""Botticino"""
"267,""dicembre"",30,""Botticino"""
